Date_Time,Pression [cm H2O],Etiqueta P,Temperatura [°C],Etiqueta T,EC [µs/cm],Etiqueta EC
2013-03-02 13:00:00,981.5,1,17.81,0,257,0
2013-03-02 14:00:00,871.1,1,17.86,0,9,1
2013-03-02 15:00:00,870.7,1,17.8,0,9,1
2013-03-02 16:00:00,1025.5,1,17.71,0,256,0
2013-03-02 17:00:00,870.3,1,17.84,0,9,1
2013-03-02 18:00:00,961.2,1,17.79,0,255,0
2013-03-02 19:00:00,921.0,1,17.83,0,255,0
2013-03-02 20:00:00,951.1,1,17.8,0,255,0
2013-03-02 21:00:00,945.3,1,17.83,0,255,0
2013-03-02 22:00:00,873.0,1,17.84,0,7,1
2013-03-02 23:00:00,932.6,1,17.82,0,255,0
2013-03-03 00:00:00,972.6,1,17.81,0,255,0
2013-03-03 01:00:00,1053.7,1,17.82,0,255,0
2013-03-03 02:00:00,1029.2,1,17.85,0,255,0
2013-03-03 03:00:00,945.3,1,17.89,0,255,0
2013-03-03 04:00:00,1036.2,1,17.85,0,255,0
2013-03-03 05:00:00,1012.3,1,17.87,0,255,0
2013-03-03 06:00:00,980.1,1,17.88,0,255,0
2013-03-03 07:00:00,1074.9,1,17.87,0,255,0
2013-03-03 08:00:00,988.8,1,17.88,0,255,0
2013-03-03 09:00:00,1058.6,1,17.86,0,255,0
2013-03-03 10:00:00,890.9,1,17.88,0,254,0
2013-03-03 11:00:00,1026.7,1,17.83,0,255,0
2013-03-03 12:00:00,905.2,1,17.87,0,254,0
2013-03-03 13:00:00,873.4,1,17.85,0,8,1
2013-03-03 14:00:00,872.6,1,17.8,0,8,1
2013-03-03 15:00:00,872.2,1,17.8,0,8,1
2013-03-03 16:00:00,872.3,1,17.81,0,9,1
2013-03-03 17:00:00,962.9,1,17.78,0,255,0
2013-03-03 18:00:00,1039.5,1,17.81,0,255,0
2013-03-03 19:00:00,924.2,1,17.9,0,255,0
2013-03-03 20:00:00,872.6,1,17.87,0,8,1
2013-03-03 21:00:00,873.0,1,17.84,0,8,1
2013-03-03 22:00:00,1012.9,1,17.8,0,255,0
2013-03-03 23:00:00,939.2,1,17.83,0,255,0
2013-03-04 00:00:00,1018.5,1,17.83,0,255,0
2013-03-04 01:00:00,947.7,1,17.9,0,255,0
2013-03-04 02:00:00,1067.8,1,17.85,0,255,0
2013-03-04 03:00:00,1070.0,1,17.89,0,255,0
2013-03-04 04:00:00,1045.6,1,17.92,0,255,0
2013-03-04 05:00:00,982.5,1,17.94,0,256,0
2013-03-04 06:00:00,1089.8,1,17.9,0,256,0
2013-03-04 07:00:00,1075.2,1,17.92,0,256,0
2013-03-04 08:00:00,933.9,1,17.96,0,255,0
2013-03-04 09:00:00,1085.3,1,17.91,0,256,0
2013-03-04 10:00:00,888.2,1,17.91,0,255,0
2013-03-04 11:00:00,1057.8,1,17.86,0,255,0
2013-03-04 12:00:00,904.7,1,17.89,0,255,0
2013-03-04 13:00:00,872.6,1,17.87,0,8,1
2013-03-04 14:00:00,1031.8,1,17.8,0,255,0
2013-03-04 15:00:00,901.8,1,17.86,0,255,0
2013-03-04 16:00:00,909.8,1,17.87,0,255,0
2013-03-04 17:00:00,871.5,1,17.87,0,8,1
2013-03-04 18:00:00,1055.4,1,17.81,0,255,0
2013-03-04 19:00:00,871.7,1,17.89,0,8,1
2013-03-04 20:00:00,1042.0,1,17.83,0,255,0
2013-03-04 21:00:00,872.6,1,17.9,0,8,1
2013-03-04 22:00:00,873.8,1,17.87,0,28,1
2013-03-04 23:00:00,939.1,1,17.82,0,255,0
2013-03-05 00:00:00,1059.2,1,17.81,0,255,0
2013-03-05 01:00:00,1043.6,1,17.87,0,255,0
2013-03-05 02:00:00,943.0,1,17.91,0,255,0
2013-03-05 03:00:00,1077.0,1,17.88,0,256,0
2013-03-05 04:00:00,1065.8,1,17.9,0,255,0
2013-03-05 05:00:00,1038.5,1,17.92,0,255,0
2013-03-05 06:00:00,989.2,1,17.95,0,256,0
2013-03-05 07:00:00,1085.7,1,17.9,0,256,0
2013-03-05 08:00:00,1048.7,1,17.92,0,255,0
2013-03-05 09:00:00,955.2,1,17.93,0,255,0
2013-03-05 10:00:00,1071.5,1,17.89,0,255,0
2013-03-05 11:00:00,900.7,1,17.9,0,255,0
2013-03-05 12:00:00,1040.7,1,17.86,0,255,0
2013-03-05 13:00:00,912.1,1,17.89,0,254,0
2013-03-05 14:00:00,1006.5,1,17.86,0,255,0
2013-03-05 15:00:00,938.5,1,17.89,0,254,0
2013-03-05 16:00:00,895.0,1,17.85,0,255,0
2013-03-05 17:00:00,1019.2,1,17.84,0,255,0
2013-03-05 18:00:00,917.0,1,17.88,0,254,0
2013-03-05 19:00:00,872.2,1,17.88,0,8,1
2013-03-05 20:00:00,889.4,1,17.86,0,255,0
2013-03-05 21:00:00,997.2,1,17.82,0,255,0
2013-03-05 22:00:00,874.0,1,17.89,0,8,1
2013-03-05 23:00:00,1039.5,1,17.83,0,255,0
2013-03-06 00:00:00,904.9,1,17.89,0,254,0
2013-03-06 01:00:00,1064.1,1,17.85,0,255,0
2013-03-06 02:00:00,1044.8,1,17.88,0,255,0
2013-03-06 03:00:00,993.5,1,17.9,0,255,0
2013-03-06 04:00:00,1041.6,1,17.87,0,255,0
2013-03-06 05:00:00,1073.9,1,17.89,0,255,0
2013-03-06 06:00:00,1046.9,1,17.9,0,255,0
2013-03-06 07:00:00,969.9,1,17.92,0,255,0
2013-03-06 08:00:00,1080.8,1,17.89,0,255,0
2013-03-06 09:00:00,951.7,1,17.9,0,254,0
2013-03-06 10:00:00,1035.3,1,17.87,0,255,0
2013-03-06 11:00:00,874.0,1,17.89,0,7,1
2013-03-06 12:00:00,873.9,1,17.85,0,7,1
2013-03-06 13:00:00,964.8,1,17.76,0,254,0
2013-03-06 14:00:00,930.0,1,17.84,0,253,0
2013-03-06 15:00:00,872.3,1,17.85,0,8,1
2013-03-06 16:00:00,991.7,1,17.8,0,254,0
2013-03-06 17:00:00,917.8,1,17.86,0,253,0
2013-03-06 18:00:00,883.8,1,17.87,0,254,0
2013-03-06 19:00:00,1005.7,1,17.81,0,254,0
2013-03-06 20:00:00,872.5,1,17.88,0,8,1
2013-03-06 21:00:00,873.0,1,17.82,0,8,1
2013-03-06 22:00:00,873.6,1,17.8,0,8,1
2013-03-06 23:00:00,985.6,1,17.76,0,254,0
2013-03-07 00:00:00,946.6,1,17.82,0,254,0
2013-03-07 01:00:00,1064.0,1,17.8,0,254,0
2013-03-07 02:00:00,978.4,1,17.84,0,254,0
2013-03-07 03:00:00,983.3,1,17.86,0,253,0
2013-03-07 04:00:00,1061.5,1,17.85,0,253,0
2013-03-07 05:00:00,1028.4,1,17.87,0,253,0
2013-03-07 06:00:00,964.4,1,17.88,0,253,0
2013-03-07 07:00:00,1076.6,1,17.86,0,253,0
2013-03-07 08:00:00,1001.9,1,17.87,0,253,0
2013-03-07 09:00:00,979.7,1,17.88,0,253,0
2013-03-07 10:00:00,891.9,1,17.87,0,253,0
2013-03-07 11:00:00,1032.8,1,17.83,0,253,0
2013-03-07 12:00:00,874.0,1,17.87,0,8,1
2013-03-07 13:00:00,1049.1,1,17.82,0,253,0
2013-03-07 14:00:00,875.0,1,17.86,0,44,1
2013-03-07 15:00:00,1038.3,1,17.82,0,253,0
2013-03-07 16:00:00,887.6,1,17.86,0,253,0
2013-03-07 17:00:00,1056.8,1,17.82,0,253,0
2013-03-07 18:00:00,871.7,1,17.87,0,8,1
2013-03-07 19:00:00,872.7,1,17.83,0,10,1
2013-03-07 20:00:00,1026.7,1,17.77,0,254,0
2013-03-07 21:00:00,874.8,1,17.84,0,8,1
2013-03-07 22:00:00,1030.5,1,17.8,0,254,0
2013-03-07 23:00:00,892.6,1,17.85,0,253,0
2013-03-08 00:00:00,934.9,1,17.82,0,253,0
2013-03-08 01:00:00,968.6,1,17.82,0,253,0
2013-03-08 02:00:00,1052.8,1,17.82,0,253,0
2013-03-08 03:00:00,1019.6,1,17.84,0,253,0
2013-03-08 04:00:00,978.4,1,17.86,0,253,0
2013-03-08 05:00:00,1074.3,1,17.85,0,253,0
2013-03-08 06:00:00,1048.7,1,17.87,0,253,0
2013-03-08 07:00:00,948.3,1,17.88,0,253,0
2013-03-08 08:00:00,1079.0,1,17.85,0,254,0
2013-03-08 09:00:00,882.8,1,17.87,0,253,0
2013-03-08 10:00:00,1066.8,1,17.83,0,253,0
2013-03-08 11:00:00,877.6,1,17.88,0,140,1
2013-03-08 12:00:00,977.6,1,17.8,0,254,0
2013-03-08 13:00:00,942.5,1,17.83,0,253,0
2013-03-08 14:00:00,874.2,1,17.84,0,10,1
2013-03-08 15:00:00,920.8,1,17.8,0,253,0
2013-03-08 16:00:00,958.5,1,17.79,0,253,0
2013-03-08 17:00:00,1004.9,1,17.8,0,253,0
2013-03-08 18:00:00,929.4,1,17.85,0,253,0
2013-03-08 19:00:00,915.1,1,17.84,0,253,0
2013-03-08 20:00:00,989.4,1,17.81,0,254,0
2013-03-08 21:00:00,873.7,1,17.85,0,8,1
2013-03-08 22:00:00,874.4,1,17.81,0,9,1
2013-03-08 23:00:00,997.0,1,17.76,0,254,0
2013-03-09 00:00:00,1000.6,1,17.79,0,254,0
2013-03-09 01:00:00,940.6,1,17.83,0,254,0
2013-03-09 02:00:00,1070.9,1,17.81,0,254,0
2013-03-09 03:00:00,1031.6,1,17.83,0,254,0
2013-03-09 04:00:00,968.3,1,17.85,0,253,0
2013-03-09 05:00:00,1058.6,1,17.83,0,254,0
2013-03-09 06:00:00,1065.8,1,17.84,0,253,0
2013-03-09 07:00:00,1019.6,1,17.86,0,253,0
2013-03-09 08:00:00,995.2,1,17.87,0,253,0
2013-03-09 09:00:00,1064.4,1,17.84,0,253,0
2013-03-09 10:00:00,905.9,1,17.85,0,253,0
2013-03-09 11:00:00,874.8,1,17.82,0,9,1
2013-03-09 12:00:00,911.8,1,17.79,0,253,0
2013-03-09 13:00:00,968.6,1,17.77,0,253,0
2013-03-09 14:00:00,873.4,1,17.83,0,8,1
2013-03-09 15:00:00,1031.8,1,17.77,0,253,0
2013-03-09 16:00:00,871.9,1,17.83,0,8,1
2013-03-09 17:00:00,872.2,1,17.8,0,9,1
2013-03-09 18:00:00,872.1,1,17.79,0,9,1
2013-03-09 19:00:00,872.3,1,17.77,0,8,1
2013-03-09 20:00:00,1028.9,1,17.71,0,254,0
2013-03-09 21:00:00,874.0,1,17.81,0,8,1
2013-03-09 22:00:00,874.2,1,17.79,0,9,1
2013-03-09 23:00:00,874.2,1,17.78,0,9,1
2013-03-10 00:00:00,1035.4,1,17.72,0,254,0
2013-03-10 01:00:00,873.8,1,17.81,0,8,1
2013-03-10 02:00:00,1027.9,1,17.76,0,253,0
2013-03-10 03:00:00,939.9,1,17.8,0,252,0
2013-03-10 04:00:00,1007.1,1,17.79,0,253,0
2013-03-10 05:00:00,1044.2,1,17.8,0,253,0
2013-03-10 06:00:00,899.6,1,17.84,0,252,0
2013-03-10 07:00:00,1053.6,1,17.8,0,253,0
2013-03-10 08:00:00,1014.7,1,17.81,0,253,0
2013-03-10 09:00:00,953.2,1,17.82,0,252,0
2013-03-10 10:00:00,979.7,1,17.8,0,252,0
